Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CAP.PA,CAP.PA,CAP.PA,CAP.PA,CAP.PA,CAP.PA
Date,,,,,,
2018-01-02,86.65889739990234,99.0,99.0,97.72000122070312,98.86000061035156,374579
2018-01-03,88.40958404541016,101.0,101.1500015258789,98.77999877929688,98.87999725341797,518773
2018-01-04,88.7159652709961,101.3499984741211,101.80000305175781,100.9000015258789,101.44999694824219,462982
2018-01-05,89.72261047363281,102.5,102.55000305175781,101.0,101.55000305175781,525044
2018-01-08,89.63506317138672,102.4000015258789,102.94999694824219,102.1500015258789,102.75,318211
2018-01-09,91.3857421875,104.4000015258789,104.5999984741211,102.3499984741211,102.44999694824219,660337
2018-01-10,91.16692352294922,104.1500015258789,107.25,104.05000305175781,105.1500015258789,711395
2018-01-11,92.21733856201172,105.3499984741211,105.9000015258789,104.05000305175781,104.30000305175781,513773
2018-01-12,93.09266662597656,106.3499984741211,106.3499984741211,105.0999984741211,105.94999694824219,377957
2018-01-15,93.04889678955078,106.30000305175781,106.5999984741211,105.44999694824219,106.5,348022
2018-01-16,93.04889678955078,106.30000305175781,107.6500015258789,106.0,106.4000015258789,486603
2018-01-17,92.83007049560547,106.05000305175781,107.05000305175781,105.44999694824219,105.9000015258789,466877
2018-01-18,93.26773071289062,106.55000305175781,106.8499984741211,105.44999694824219,106.55000305175781,451226
2018-01-19,94.9308853149414,108.44999694824219,108.5,106.44999694824219,106.69999694824219,518847
2018-01-22,94.05553436279297,107.44999694824219,108.80000305175781,106.94999694824219,108.80000305175781,501707
2018-01-23,94.23062133789062,107.6500015258789,108.6500015258789,107.19999694824219,108.3499984741211,360794
2018-01-24,93.70541381835938,107.05000305175781,108.55000305175781,106.94999694824219,107.8499984741211,427735
2018-01-25,92.52369689941406,105.69999694824219,107.6500015258789,105.5,106.94999694824219,503223
2018-01-26,93.1801986694336,106.44999694824219,107.4000015258789,105.8499984741211,106.05000305175781,427219
2018-01-29,93.04889678955078,106.30000305175781,107.1500015258789,106.1500015258789,106.80000305175781,367950
2018-01-30,92.78629302978516,106.0,107.55000305175781,105.44999694824219,105.5999984741211,427107
2018-01-31,93.61786651611328,106.94999694824219,107.0,105.6500015258789,105.8499984741211,502141
2018-02-01,94.62451934814453,108.0999984741211,108.8499984741211,107.3499984741211,107.5,534424
2018-02-02,92.21733856201172,105.3499984741211,107.9000015258789,105.25,107.8499984741211,499912
2018-02-05,90.42286682128906,103.30000305175781,105.0999984741211,102.9000015258789,105.0999984741211,567602
2018-02-06,88.01568603515625,100.55000305175781,102.0,99.63999938964844,100.44999694824219,1176021
2018-02-07,89.9852066040039,102.80000305175781,102.94999694824219,100.25,101.80000305175781,637496
2018-02-08,86.60637664794922,98.94000244140625,102.0,98.45999908447266,101.94999694824219,701392
2018-02-09,85.87108612060547,98.0999984741211,99.72000122070312,97.37999725341797,98.5999984741211,811585
2018-02-12,87.62176513671875,100.0999984741211,100.44999694824219,98.41999816894531,99.0,695406
2018-02-13,88.05944061279297,100.5999984741211,101.05000305175781,100.0999984741211,100.3499984741211,463488
2018-02-14,89.28492736816406,102.0,102.94999694824219,100.55000305175781,100.8499984741211,619765
2018-02-15,91.34197998046875,104.3499984741211,105.5999984741211,103.3499984741211,103.80000305175781,633842
2018-02-16,91.5608139038086,104.5999984741211,105.0,103.55000305175781,105.0,505094
2018-02-19,91.8671875,104.94999694824219,105.80000305175781,104.55000305175781,105.6500015258789,389445
2018-02-20,90.68547821044922,103.5999984741211,104.9000015258789,102.8499984741211,104.75,750755
2018-02-21,89.76637268066406,102.55000305175781,103.30000305175781,101.69999694824219,103.0,764306
2018-02-22,89.06608581542969,101.75,102.75,101.5,102.3499984741211,769082
2018-02-23,88.97856140136719,101.6500015258789,102.19999694824219,101.19999694824219,102.19999694824219,486353
2018-02-26,89.63506317138672,102.4000015258789,103.6500015258789,101.9000015258789,102.5,618577
2018-02-27,89.67882537841797,102.44999694824219,103.0999984741211,101.8499984741211,102.80000305175781,331767
2018-02-28,90.11650085449219,102.94999694824219,103.0999984741211,101.8499984741211,102.6500015258789,413382
2018-03-01,88.7159652709961,101.3499984741211,103.0,101.05000305175781,102.8499984741211,593539
2018-03-02,86.92150115966797,99.30000305175781,100.5,98.72000122070312,100.4000015258789,562742
2018-03-05,88.36581420898438,100.94999694824219,101.30000305175781,99.16000366210938,99.54000091552734,378687
2018-03-06,90.07273864746094,102.9000015258789,103.0999984741211,101.6500015258789,102.05000305175781,555098
2018-03-07,90.59794616699219,103.5,103.9000015258789,102.19999694824219,102.5,652925
2018-03-08,91.73590850830078,104.80000305175781,105.4000015258789,103.55000305175781,103.55000305175781,483800
2018-03-09,92.52369689941406,105.69999694824219,105.9000015258789,104.4000015258789,104.55000305175781,342653
2018-03-12,92.39238739013672,105.55000305175781,106.5,105.25,106.3499984741211,360340
2018-03-13,91.73590850830078,104.80000305175781,105.9000015258789,104.1500015258789,105.6500015258789,391452
2018-03-14,92.08602142333984,105.19999694824219,105.80000305175781,104.4000015258789,104.80000305175781,405049
2018-03-15,92.34862518310547,105.5,106.5,105.1500015258789,105.69999694824219,580955
2018-03-16,91.95471954345703,105.05000305175781,105.9000015258789,104.3499984741211,105.19999694824219,839990
2018-03-19,91.29822540283203,104.30000305175781,105.75,103.75,105.0,568409
2018-03-20,91.3857421875,104.4000015258789,104.75,103.8499984741211,104.25,400991
2018-03-21,90.86054992675781,103.80000305175781,105.1500015258789,103.6500015258789,104.3499984741211,389855
2018-03-22,90.11650085449219,102.94999694824219,104.0,102.25,103.30000305175781,759242
2018-03-23,90.29157257080078,103.1500015258789,103.80000305175781,101.19999694824219,102.0,621262
2018-03-26,89.15362548828125,101.8499984741211,103.6500015258789,101.44999694824219,103.0999984741211,578840
2018-03-27,90.37911224365234,103.25,104.25,103.0,103.80000305175781,426729
2018-03-28,88.14697265625,100.69999694824219,101.94999694824219,99.95999908447266,101.94999694824219,888552
2018-03-29,88.58465576171875,101.19999694824219,101.69999694824219,100.69999694824219,101.19999694824219,577320
2018-04-03,87.7530746459961,100.25,100.75,99.5999984741211,100.25,444845
2018-04-04,86.51884460449219,98.83999633789062,100.80000305175781,98.19999694824219,100.5999984741211,551808
2018-04-05,89.59130096435547,102.3499984741211,102.5,100.19999694824219,100.5999984741211,642810
2018-04-06,89.72261047363281,102.5,102.8499984741211,101.3499984741211,101.75,480771
2018-04-09,90.77301025390625,103.69999694824219,103.69999694824219,102.55000305175781,102.75,465050
2018-04-10,91.3857421875,104.4000015258789,104.5,103.6500015258789,104.0,300989
2018-04-11,90.94808197021484,103.9000015258789,104.4000015258789,103.19999694824219,104.0999984741211,510073
2018-04-12,91.73590850830078,104.80000305175781,105.0999984741211,103.19999694824219,103.9000015258789,514003
2018-04-13,91.64835357666016,104.69999694824219,105.1500015258789,104.25,104.94999694824219,344089
2018-04-16,91.64835357666016,104.69999694824219,105.30000305175781,104.5,104.69999694824219,247242
2018-04-17,91.91095733642578,105.0,105.75,104.6500015258789,105.0,455933
2018-04-18,91.73590850830078,104.80000305175781,105.75,104.69999694824219,105.25,390522
2018-04-19,92.0422592163086,105.1500015258789,105.6500015258789,104.75,104.94999694824219,477493
2018-04-20,91.91095733642578,105.0,105.5,104.6500015258789,105.1500015258789,351199
2018-04-23,92.87382507324219,106.0999984741211,106.3499984741211,104.8499984741211,104.8499984741211,357157
2018-04-24,92.91759490966797,106.1500015258789,106.5999984741211,105.3499984741211,105.94999694824219,401420
2018-04-25,91.5608139038086,104.5999984741211,106.1500015258789,104.4000015258789,105.5,456575
2018-04-26,93.44281005859375,106.75,106.80000305175781,104.0999984741211,104.5999984741211,540334
2018-04-27,99.65774536132812,113.8499984741211,113.8499984741211,109.30000305175781,109.4000015258789,1089152
2018-04-30,99.7890396118164,114.0,114.25,113.0999984741211,114.0999984741211,682956
2018-05-02,100.7081527709961,115.05000305175781,116.94999694824219,113.9000015258789,115.0999984741211,738719
2018-05-03,99.8765640258789,114.0999984741211,115.19999694824219,113.8499984741211,115.1500015258789,527810
2018-05-04,100.35801696777344,114.6500015258789,115.30000305175781,114.3499984741211,114.5999984741211,555433
2018-05-07,100.35801696777344,114.6500015258789,115.30000305175781,113.75,114.30000305175781,278614
2018-05-08,100.97074127197266,115.3499984741211,115.5,114.44999694824219,114.6500015258789,390891
2018-05-09,101.0145263671875,115.4000015258789,115.44999694824219,114.8499984741211,115.19999694824219,299092
2018-05-10,101.23335266113281,115.6500015258789,115.8499984741211,115.25,115.25,198431
2018-05-11,101.40840911865234,115.8499984741211,116.1500015258789,115.30000305175781,115.8499984741211,346129
2018-05-14,101.4959487915039,115.94999694824219,116.1500015258789,114.9000015258789,115.9000015258789,294036
2018-05-15,101.14582824707031,115.55000305175781,116.3499984741211,115.19999694824219,115.80000305175781,412697
2018-05-16,102.06492614746094,116.5999984741211,116.80000305175781,115.3499984741211,115.55000305175781,298749
2018-05-17,100.9269790649414,115.30000305175781,116.55000305175781,115.0,116.55000305175781,463470
2018-05-18,100.9269790649414,115.30000305175781,115.69999694824219,115.0,115.4000015258789,530749
2018-05-21,100.7956771850586,115.1500015258789,115.8499984741211,115.1500015258789,115.4000015258789,275008
2018-05-22,100.3142318725586,114.5999984741211,115.5999984741211,114.5999984741211,115.44999694824219,342439
2018-05-23,100.1391830444336,114.4000015258789,114.80000305175781,113.80000305175781,114.4000015258789,475691
2018-05-24,100.83944702148438,115.19999694824219,115.69999694824219,114.5,114.5,438822
2018-05-25,101.53971099853516,116.0,116.75,115.25,115.5999984741211,374767
2018-05-28,101.62726593017578,116.0999984741211,116.80000305175781,115.75,116.55000305175781,201860
2018-05-29,100.1391830444336,114.4000015258789,115.3499984741211,113.55000305175781,115.3499984741211,463884
2018-05-30,99.2200698852539,113.3499984741211,114.3499984741211,113.0,114.3499984741211,581405
2018-05-31,98.60733032226562,112.6500015258789,113.9000015258789,112.4000015258789,113.5999984741211,860658
2018-06-01,100.7956771850586,115.1500015258789,115.19999694824219,112.75,113.0,529416
2018-06-04,100.57357025146484,113.19999694824219,114.6500015258789,113.19999694824219,114.0999984741211,347628
2018-06-05,101.99510192871094,114.80000305175781,115.8499984741211,112.80000305175781,113.30000305175781,373635
2018-06-06,101.90625,114.69999694824219,115.75,114.19999694824219,115.25,378224
2018-06-07,100.7956771850586,113.44999694824219,115.4000015258789,113.3499984741211,114.75,323935
2018-06-08,100.57357025146484,113.19999694824219,113.8499984741211,112.4000015258789,113.1500015258789,429358
2018-06-11,100.92894744873047,113.5999984741211,114.69999694824219,113.4000015258789,113.4000015258789,497057
2018-06-12,102.21722412109375,115.05000305175781,115.05000305175781,113.69999694824219,114.30000305175781,471404
2018-06-13,103.28336334228516,116.25,117.25,115.3499984741211,115.3499984741211,534325
2018-06-14,104.83816528320312,118.0,118.8499984741211,115.5,115.69999694824219,789607
2018-06-15,104.70490264892578,117.8499984741211,118.8499984741211,117.69999694824219,118.44999694824219,738531
2018-06-18,104.30509185791016,117.4000015258789,118.0,116.5,117.69999694824219,399948
2018-06-19,102.17279815673828,115.0,115.94999694824219,114.30000305175781,115.94999694824219,637228
2018-06-20,101.68413543701172,114.44999694824219,115.75,114.0999984741211,115.6500015258789,678961
2018-06-21,100.12933349609375,112.69999694824219,114.80000305175781,111.5999984741211,114.80000305175781,837064
2018-06-22,100.75126647949219,113.4000015258789,114.0,112.1500015258789,112.6500015258789,424843
2018-06-25,99.68510437011719,112.19999694824219,113.5999984741211,112.19999694824219,113.30000305175781,367493
2018-06-26,100.21818542480469,112.80000305175781,113.5,112.30000305175781,112.3499984741211,312431
