#{"t_start": 1759928046.8498518, "env_id": "None"}
r,l,t
-82.165186,59,5.779537
-229.318208,59,9.584642
146.23331,59,13.879937
-155.028081,59,18.305278
-153.196285,59,22.602274
-15.037023,59,26.754852
-250.049152,59,31.244919
-315.660754,59,37.234376
-438.853558,59,43.100441
150.142676,59,48.380892
-425.649338,59,53.336025
-190.710206,59,58.899551
95.64832,59,63.600441
-247.737847,59,68.196644
-200.706022,59,72.350631
-162.646545,59,76.718193
40.958546,59,81.313085
-293.843473,59,86.315024
-147.780143,59,90.572963
94.44456,59,94.952155
-136.913865,59,99.374938
-15.946739,59,104.325151
-116.160175,59,111.156934
-288.705959,59,118.425412
-572.6264,59,124.943472
-123.642236,59,134.842107
-369.955357,59,144.15669
-8.019937,59,151.701591
-452.223672,59,159.894737
-55.84094,59,167.088917
-163.858203,59,175.231281
-364.193312,59,183.024134
5.206044,59,191.723806
-410.265191,59,205.399954
-33.142138,59,212.028348
-75.154574,59,218.549142
-166.636175,59,224.275302
-107.414027,59,230.513442
27.213374,59,238.051869
-639.009159,59,245.323667
391.050648,59,249.560542
-285.75423,59,254.089417
-320.040875,59,258.923818
-245.225167,59,263.188776
87.583189,59,267.122109
-184.212321,59,271.326016
-61.811429,59,276.245092
-427.591824,59,280.859597
140.58858,59,285.673055
-89.741022,59,290.062027
-384.645176,59,294.08929
-223.648791,59,298.620866
-98.984454,59,303.23801
-91.572035,59,307.527414
-266.506547,59,311.906019
-447.812538,59,317.481024
-87.564883,59,322.777064
-87.838652,59,328.395455
-37.899884,59,332.930329
-257.25677,59,337.20041
-393.062843,59,341.575789
-558.09583,59,345.697293
161.994453,59,350.853756
-289.348943,59,355.598482
-196.122932,59,359.514674
121.234818,59,363.658664
-245.445334,59,367.780073
93.424391,59,378.516337
314.52652,59,382.493744
-542.935481,59,386.825886
290.307884,59,390.859606
-698.391191,59,394.988018
-235.626192,59,399.129801
-192.38457,59,403.071425
365.046726,59,407.707036
82.849974,59,412.42152
-87.99065,59,418.526503
58.188189,59,422.668672
-74.147111,59,426.971412
-42.62959,59,431.712016
282.167867,59,435.72085
-240.011888,59,439.715819
-7.182566,59,443.555522
99.803232,59,447.820251
-45.951889,59,452.433971
-269.904478,59,457.479728
